IDENT	LATITUDE	LONGITUDE
EVODO	53,294166667	22,929166667
EBOGU	53,378888889	18,149722222
EGLON	51,416666667	21,984722222
EKSEK	51,128333333	15,610833333
ELKAR	53,698333333	20,5
ELSUM	51,943055556	22,438055556
OLKOL	50,782222222	22,9
ABAMI	51,424948917	7,280598444
LENOV	49,336388889	21,010277778
GAWOR	49,142222222	22,281388889
KEFIR	49,351944444	21,923611111
SKARY	49,444722222	18,976666667
IVNER	51,118055556	23,857222222
BUNOS	54,989444444	18,181666667
ABSAG	52,81222222	14,22472222
BEZMI	54,387222222	17,406666667
REGTO	49,403611111	20,664722222
ODEGU	49,414541667	10,661902778
KOPRY	46,240391667	16,962769444
LARET	51,834431361	10,869346583
GOBAX	51,556622278	12,7841305
TAKET	48,97	27,841666667
UNBEK	51,424722222	20,015277778
UTEVO	50,20992777	17,51191388
OGVET	50,883333333	22,477777778
RETSU	51,416666667	23,490833333
DIDPU	52,58869475	16,451182583
NEPSU	52,563946639	16,581583972
GUBNU	52,413838889	16,362392111
SUTIK	52,533888889	21,401666667
ORBUZ	52,490833333	21,438333333
SEZIN	51,191111111	17,914444444
LUXPU	51,155555556	19,693611111
GIZCA	53,754722222	17,498055556
EZAZI	53,449444444	20,125
EVDEX	51,946238917	20,444616556
OLBIL	52,133472222	21,081805556
XELTO	52,211788528	20,927005167
MULZA	52,259261111	20,657161111
MIPLO	52,256111111	15,591944444
DILVI	52,169166667	15,459166667
USEGI	50,935277778	22,675555556
OKEKI	52,389183694	16,492326306
RERMU	52,425006944	17,297587194
REKRA	52,225186139	17,334797917
NUNBI	52,363380639	17,122232111
GOBSU	52,288899222	17,011866667
OLBUV	52,250764833	17,205799278
LUNIP	59,183441667	11,3153
DEKUT	53,116111111	17,035277778
OBOKU	52,252222222	18
ELSUP	52,54	15,411388889
BAREP	52,271111083	15,5644445
UBOMI	52,519722222	15,671388889
OBELI	52,476574083	16,536868611
ELVOT	50,611725	16,409208333
ENORU	50,340238889	16,370230556
EROKA	50,09705833	13,69071666
UPLAV	49,32285277	17,52839722
DP417	51,663811306	12,557744861
VUXDU	53,24	15,029166667
PIKFI	53,9175	14,823333333
SOPUK	51,3	19,083333333
OKSOV	54,691388889	18,330277778
OKSIL	54,4625	18,705555556
EVMIL	51,677222222	18,763055556
NIVNO	51,510277778	19,672222222
ENUBU	51,486944444	18,680277778
PEXUL	51,381666667	19,612777778
VALKO	52,071344444	3,839830556
ODVIL	51,839444444	3,864166667
NIMAB	51,625972917	12,0574265
EMLES	53,2725	16,468333333
ERUNI	52,4375	21,737222222
GINEX	51,463333333	22,359166667
IRBON	51,413888889	21,59
DEMET	53,84472222	19,19138888
BERNU	54,13666666	19,13833333
GOMEX	53,734444444	15,242777778
IRGET	53,669722222	14,614722222
MASUN	53,636666667	15,276666667
DOSAL	53,398611111	15,392222222
PIXOR	53,288611111	15,476388889
VAVUN	53,475305556	15,333027778
FARCU	53,893888889	14,212777778
ZOCEK	53,44425	15,173361111
ORBOF	53,722333333	14,63325
SEFIF	53,595416667	14,8815
POZUM	51,716380556	14,681586111
LAJQU	53,411111111	16,066388889
LOZON	53,640277778	28,126944444
REGLU	54,860333333	24,456583333
ROBEG	52,2336155	9,269619861
KOMIB	50,073355556	10,242708333
HMM	51,856865972	7,708295167
ARSOG	49,990555611	22,699722083
KONZI	50,566111111	20,617777778
GUWEN	52,5	22,058333333
UVOGE	52,733333333	20,9
TACEV	52,908611111	20,358333333
MEZPO	52,799722222	21,344722222
DUCGO	52,75	20,616666667
SUFLU	51,869722222	20,111111111
VIKAH	52,986388889	23,180833333
NAZUD	54,111111111	23,067777778
KEZDO	53,546111111	15,584166667
DIFUS	53,863333333	15,269444444
PAVZA	52,533527778	20,631138889
AQALE	52,5	21,183333333
BUWAS	52,179722222	21,785222222
KEWLU	52,5125	20,3425
VAWKU	52,201666667	21,308055556
VIXLO	51,572055556	20,253833333
NAHPA	51,962138889	21,040222222
UPKOF	52,42225	20,769305556
EHETE	50,016555556	19,351888889
BAWZI	50,137138889	20,217916667
OFFUK	50,119944444	20,091194444
AKFAG	50,035194444	19,378055556
AJWER	50,150555556	20,180555556
IMNAZ	50,034583333	19,478055556
EZWOP	50,476166667	18,644277778
AKNUC	50,462666667	18,676333333
PABWO	50,474222222	19,512694444
AJPIF	50,456944444	19,480055556
DUFSI	52,033333333	17,653333333
MUVQE	51,851388889	17,421111111
OLLEW	51,787222222	17,578055556
UPCET	52,709722222	16,911388889
OVCAB	52,557222222	18,183333333
ONZIL	50,476388889	18,774722222
TOZIZ	50,475	19,382222222
ARVUD	52,4425	18,18
DAHOW	51,78	22,012222222
EMFED	52,562222222	17,560277778
ERZAR	53,940277778	18,731111111
FAFEN	52,089444444	18,372777778
FEZUM	52,221388889	22,193611111
FOJGO	51,656944444	21,538055556
GIRUZ	53,866111111	19,640833333
LOFOX	53,586666667	16,080833333
RORME	53,985	15,620555556
ROZAT	52,067777778	21,625833333
SOWEX	51,415833333	21,85
XECKO	53,158333333	16,285833333
ZULCU	53,841388889	16,398611111
EVNOB	54,264970976	18,184625952
UGNUR	54,606153	18,272995194
UVRET	49,891359861	19,743296555
ASGID	49,864945556	20,553728167
IVMEM	50,195362111	18,612410777
LIGDI	50,300712028	19,553510889
INPIV	50,465316305	20,045577945
ELVEP	50,299861472	19,16127425
INSAB	50,289672778	18,853338111
RAVAD	51,424027778	21,422916667
TUFIM	51,616666667	19,372777778
ARFEP	51,565555556	20,445277778
DEBZU	52,037777778	21,096388889
DUTFU	52,2625	21,340277778
EDIZE	52,171388889	21,271666667
EMCEL	51,685555556	20,909722222
EXFOR	52,217777778	20,605555556
DUDCO	52,500555556	17,795833333
EKTIZ	52,417777778	18
IRCEN	52,250833333	17,588333333
PULWI	52,738055556	16,919166667
PUMQA	52,482222222	16,811388889
SUTQO	52,651666667	16,972222222
TITQE	52,0325	16,303055556
UBZAZ	52,085277778	16,331388889
UVCOV	53,161944444	16,446111111
ODMIQ	52,722777778	17,002222222
FILOZ	52,071111111	20,978611111
ENZAM	52,201388889	21,554722222
FALNE	51,8575	19,630833333
FOLFA	51,776944444	20,9575
IMWEG	52,562777778	20,9475
KACBU	51,614166667	21,182777778
VECNU	52,585277778	21,197222222
ZIXNE	52,360555556	21,442777778
HALFI	52,378611111	20,687222222
