IDENT	LATITUDE	LONGITUDE
LB477	50,984111111	22,631722222
LB479	51,170527778	22,882083333
LB481	51,206916667	22,971277778
LB482	51,339805556	22,923722222
LB483	51,273388889	22,947527778
LB484	51,276388889	22,968
LB486	51,257944444	22,838
LB487	51,225722222	22,613138889
LB509	51,175	22,138333333
LB511	51,198333333	22,342777778
LB512	51,222222222	22,558333333
LB513	50,958055556	22,250555556
LB514	51,031666667	22,364722222
LB516	51,141666667	22,536666667
LB601	51,231222222	22,651277778
LB602	51,318083333	22,564
AEPRU	50,884819444	19,203005556
LB603	51,30425	22,455305556
LB606	51,077055556	22,559416667
LB607	51,060055556	22,359694444
LB608	51,046944444	22,208333333
LB611	51,217055556	22,553138889
LB612	51,245666667	22,377138889
LB613	51,280888889	22,264388889
LB701	51,257055556	22,831916667
LB702	51,2605	22,856222222
LB703	51,341638889	22,826888889
LB704	51,316055556	22,579027778
LB706	51,290333333	22,39575
LB707	51,250888889	22,16675
LB711	51,178166667	22,860305556
LB712	51,11275	22,683805556
LB713	50,980694444	22,548277778
LB714	50,992194444	22,350027778
LB716	51,005555556	22,112222222
LB717	50,909166667	22,220555556
SY373	53,300888889	20,836805556
SY374	53,301055556	20,835722222
SY376	53,396472222	20,889472222
SY811	53,345055556	20,861361111
EPKEE	54,011944444	21,583611111
EPKES	53,953333333	21,371388889
EPKEW	54,025555556	21,217222222
GD432	54,139676	19,049977194
GD444	54,249220583	18,619407333
GD446	53,939601861	18,616487833
GD451	54,260004833	18,326427389
GD541	54,442232806	18,202858833
GD542	54,350816444	18,137333611
GD543	54,287953361	17,833333528
GD551	54,283159361	18,25823025
GD832	54,449235667	18,541224639
GD842	54,190501194	18,247804917
EPDAO	54,358333333	16,515
BY832	53,098611111	18,457777778
BY831	53,020972222	17,676138889
BY647	53,046277778	18,324722222
BY646	53,006277778	17,851694444
BY643	52,991138889	17,450638889
BY642	52,994972222	17,71425
BY641	53,084555556	17,833277778
BY809	53,138277778	17,372472222
BY808	53,239333333	18,146777778
BY807	53,161277778	17,945277778
BY629	53,18225	17,994722222
BY814	53,110138889	18,138083333
BY806	53,084027778	17,826666667
BY804	53,140222222	17,698611111
BY824	53,121472222	18,161472222
BY819	53,080611111	17,827138889
BY632	53,093638889	17,847555556
BY631	53,105777778	18,170611111
BY634	52,986583333	17,866777778
BY633	53,085444444	17,843583333
BY637	53,112805556	18,169694444
BY636	53,022833333	18,301388889
BY627	53,186416667	18,411305556
BY628	53,204222222	18,260583333
EPDAH	54,4775	16,651666667
EPDAW	54,302861111	16,386
EPDAE	54,384722222	16,39675
AEPAA	52,119294444	20,869783333
AEPSB	52,182138889	21,28925
AEPBT	49,327047222	20,093675
AEPSL	51,231980556	22,690325
AEPRS	52,241944444	20,126944444
EPPIZ	53,193611111	16,65
AEPDK	51,612638889	23,007138889
AEPPA	50,244694444	18,0235
EPRUE	50,921666667	19,356666667
EPRUS	50,828611111	19,289722222
MO883	52,422055556	20,277194444
LB377	50,920361111	22,233111111
LB383	51,063833333	22,583611111
LB384	51,105416667	22,479916667
LB386	51,067527778	22,152805556
LB387	50,987083333	22,308027778
LB388	51,041111111	22,370916667
LB389	51,118277778	22,461055556
LB391	51,194833333	22,400472222
LB392	51,214361111	22,534361111
LB394	51,199305556	22,431111111
LB396	51,271777778	22,935972222
